Address,Beds,Baths,Area,Construction,Parking,Price,Latitude,Longitude
"100 W 57th St APT 6P, New York, NY 10019",0,1,575,0,0,125000,40.7642381,-73.9775292
"100 W 57th St #19M, New York, NY 10019",0,1,450,0,0,109000,40.7642381,-73.9775292
"526 W 158th St #55, New York, NY 10032",2,1,600,1925,0,125000,40.8339316,-73.9432301
"100 W 57th St APT 5R, New York, NY 10019",1,1,900,0,0,173000,40.7642381,-73.9775292
"1993 Amsterdam Ave APT 64, New York, NY 10032",2,1,700,1907,0,199000,40.8337728,-73.9410168
"230 W 105th St APT 14F, New York, NY 10025",1,1,720,1920,0,250000,40.8002147,-73.9675401
"30 Macombs Pl APT 42, New York, NY 10039",1,1,600,1920,0,215000,40.8260414,-73.9385874
"25 Tudor City Pl APT 716, New York, NY 10017",0,1,300,0,0,279000,40.7486361,-73.9705046
"333 E 85th St APT 1A, New York, NY 10028",0,1,24864,0,0,239000,40.776857,-73.9508845
"219 W 144th St APT 41, New York, NY 10030",1,1,375,0,0,210000,40.8216032,-73.9405309
"36 Convent Ave #18, New York, NY 10027",2,1,700,1926,0,220000,40.8142411,-73.9532272
"25 Tudor City Pl APT 714, New York, NY 10017",0,1,300,0,0,279000,40.7486361,-73.9705046
"25 Tudor City Pl APT 1207, New York, NY 10017",0,1,300,0,0,295000,40.7486361,-73.9705046
"100 W 57th St APT 16K, New York, NY 10019",0,1,580,1962,0,220000,40.7642381,-73.9775292
"515 Edgecombe Ave APT 43, New York, NY 10032",1,1,550,1923,0,400000,40.8325571,-73.9399183
"5 Tudor City Pl APT 317, New York, NY 10017",0,1,275,0,0,339900,40.7480424,-73.9710037
"214 Bradhurst Ave APT 14, New York, NY 10039",1,1,490,0,0,387500,40.8277778,-73.9393006
"153 E 57th St APT 5E, New York, NY 10022",0,1,500,1960,0,395000,40.7606525,-73.9680205
"433 W 34th St APT 3F, New York, NY 10001",0,1,250,0,0,378000,40.7542846,-73.9977693
"457 W 57th St #1116, New York, NY 10019",0,1,400,1930,0,379000,40.7689702,-73.9875509
"512 E 83rd St APT 2B, New York, NY 10028",0,1,400,0,0,349900,40.7734493,-73.9478595
"330 E 94th St APT 4B, New York, NY 10128",1,1,475,0,0,389000,40.7821367,-73.9466175
"339 E 58th St APT 5B, New York, NY 10022",0,1,450,1930,0,310000,40.7595139,-73.9631477
"515 Edgecombe Ave APT 43, New York, NY 10032",1,1,550,0,0,400000,40.8325571,-73.9399183
"335 E 51st St APT 9G, New York, NY 10022",0,1,430,0,0,485000,40.7550827,-73.9665627
"102 W 80th St APT 85, New York, NY 10024",0,1,380,0,0,430000,40.7826431,-73.9755719
"461 W 44th St APT 6B, New York, NY 10036",0,1,400,1940,0,439000,40.7609225,-73.9941209
"127 W 112th St #1B, New York, NY 10026",0,1,472,2021,0,499000,40.79995,-73.952499
"235 E 40th St APT 21I, New York, NY 10016",0,1,405,1986,0,495000,40.6538871,-74.0095879
"566 W 159th St APT 41, New York, NY 10032",2,1,900,1913,0,475000,40.834853,-73.942606
"3 Hanover Sq APT 4A, New York, NY 10004",0,1,575,1926,0,425000,40.7050665,-74.0098062
"403 E 62nd St APT 4D, New York, NY 10065",0,1,488,0,0,585000,40.7614519,-73.9599848
"230 E 71st St APT 2A, Manhattan, NY 10021",1,1,650,0,0,549000,40.7682206,-73.9596525
"817 W End Ave APT 3CC, New York, NY 10025",1,1,565,0,0,595000,40.7976948,-73.9716509
"520 E 90th St APT 3E, New York, NY 10128",1,1,600,0,0,550000,40.7779941,-73.9448189
"280 Rector Pl APT 5O, New York, NY 10280",1,1,631,1985,0,545000,40.7088551,-74.0166594
"415 E 85th St #12, New York, NY 10028",1,1,760,1959,0,575000,40.7760118,-73.9487947
"316 W 82nd St #1F, New York, NY 10024",1,1,685,0,0,595000,40.7864122,-73.9806485
"280 Rector Pl APT 6D, New York, NY 10280",1,1,625,0,0,575000,40.7088551,-74.0166594
"116 W 72nd St APT 10B, New York, NY 10023",0,1,400,0,0,550000,40.7774136,-73.9795144
"400 E 56th St APT 12A, New York, NY 10022",1,1,561,0,1,569000,40.7570799,-73.9631038
"501 W 122nd St APT E1, New York, NY 10027",2,1,700,1901,0,575000,40.8108573,-73.9585037
"475 Franklin D Roosevelt Dr APT L804, New York, NY 10002",1,1,800,0,0,535000,40.719451,-74.010292
"166 E 92nd St APT 4E, New York, NY 10128",1,1,700,0,0,510000,40.7827018,-73.9519471
"303 E 57th St APT 32C, New York, NY 10022",1,2,1100,0,0,600000,40.759561,-73.9645409
"29 W 119th St APT 3, New York, NY 10026",3,1,1000,0,0,685000,40.8032187,-73.9459807
"100 W 12th St APT 4N, New York, NY 10011",0,1,670,1959,0,675000,40.7360128,-73.9983713
"250 E 54th St APT 16B, New York, NY 10022",0,1,400,1990,0,625000,40.7573196,-73.9671655
"142 Edgecombe Ave #2A, New York, NY 10030",2,1,740,0,0,700000,40.820876,-73.945155
"42 W 120th St APT 3B, New York, NY 10027",1,1,620,1909,0,610000,42.779408,-73.6690386
"400 E 54th St APT 27D, New York, NY 10022",1,1,622,1972,0,675000,40.7560875,-73.9640348
"20 West St APT 31E, New York, NY 10004",0,1,598,0,0,645000,41.1328934,-72.3547105
"405 W 23rd St APT 2L, New York, NY 10011",0,1,550,1932,0,625000,40.7467841,-74.0016172
"181 E 101st St PENTHOUSE 7, New York, NY 10029",0,1,418,2021,0,695000,40.7888462,-73.9478828
"181 E 101st St #702, New York, NY 10029",0,1,501,0,0,651900,40.7888462,-73.9478828
"161 E 110th St #6C, New York, NY 10029",1,1,648,2008,0,629000,40.794732,-73.944117
"639 W End Ave #1C, New York, NY 10025",1,1,750,0,0,655000,40.792174,-73.975558
"137 E 36th St #18D, New York, NY 10016",1,1,650,0,0,660000,40.747684,-73.978788
"504 Grand St APT H34, New York, NY 10002",1,1,750,0,0,645000,40.7146288,-73.9818172
"106 Central Park S APT 5N, New York, NY 10019",0,1,630,1930,0,675000,40.765454,-73.976929
"106 Central Park S APT 9N, New York, NY 10019",0,1,513,0,0,675000,40.765454,-73.976929
"621 E 6th St APT 6, New York, NY 10009",1,1,550,1920,0,700000,40.7241509,-73.9803914
"100 Beekman St APT 19N, New York, NY 10038",1,1,668,0,0,650000,40.7086059,-74.0033669
"88 Greenwich St APT 1108, New York, NY 10006",0,1,563,0,0,650000,40.7079125,-74.0140734
"175 W 13th St APT 5H, New York, NY 10011",0,1,385,1961,0,649000,40.7378676,-73.9998268
"75 Wall St APT 33J, New York, NY 10005",0,1,445,0,0,688000,40.7051991,-74.0076662
"59 Morningside Ave APT 1N, New York, NY 10027",4,1,1200,0,0,675000,40.8082676,-73.9559069
"148 W 23rd St APT 4C, New York, NY 10011",1,1,700,1910,0,650000,40.7434746,-73.9948654
"250 E 30th St APT 9F, New York, NY 10016",1,1,610,0,0,795000,40.7423095,-73.9781109
"363 E 76th St APT 9M, New York, NY 10021",1,1,850,1963,0,750000,40.7706063,-73.9543643
"181 E 101st St #301, New York, NY 10029",1,1,652,2021,0,795000,40.7888462,-73.9478828
"150 W 51st St APT 919, New York, NY 10019",1,1,550,1927,0,739999,40.7614359,-73.982392
"350 W 50th St APT 2II, New York, NY 10019",0,1,597,1988,0,725000,40.7627443,-73.9878936
"30 W 90th St APT 9C, New York, NY 10024",1,1,580,0,0,750000,40.7882952,-73.9690499
"111 4th Ave APT 8K, New York, NY 10003",0,1,500,0,0,750000,40.7323782,-73.9897476
"250 S End Ave APT 2D, New York, NY 10280",1,1,782,0,0,719000,40.7096469,-74.0162504
"20 E 35th St APT 5E, New York, NY 10016",1,1,804,0,0,799990,40.7482362,-73.9822653
"40 W 67th St APT 1D, New York, NY 10023",1,1,650,1930,0,785000,40.7734301,-73.9797914
"142 Edgecombe Ave #2A, New York, NY 10030",2,1,740,0,0,700000,40.820876,-73.945155
"78 W 85th St APT 6B, New York, NY 10024",1,1,640,1920,0,775000,40.7856318,-73.9725246
"142 W 82nd St APT 3, New York, NY 10024",1,2,650,1900,0,750000,40.7844002,-73.975747
"552 Riverside Dr APT 2D, New York, NY 10027",2,1,750,1910,0,800000,40.8163353,-73.9603157
"710 W End Ave #15F, New York, NY 10025",1,1,736,0,0,750000,40.7942164,-73.9735937
"127 W 112th St #2A, New York, NY 10026",1,1,702,2021,0,750000,40.79995,-73.952499
"334 W 85th St APT 1A, New York, NY 10024",3,1,908,0,0,775000,40.7885527,-73.9797996
"400 W 58th St APT 4E, New York, NY 10019",1,1,750,1957,0,759000,40.7686274,-73.9855734
"504 Grand St APT D45, New York, NY 10002",1,1,825,1929,0,729000,40.7146288,-73.9818172
"350 E 30th St APT 6M, New York, NY 10016",2,1,767,1956,0,795000,40.7413178,-73.9757407
"104 W 70th St APT 5E, New York, NY 10023",0,1,424,0,0,750000,40.7761529,-73.9801249
"11 Hancock Pl #804, New York, NY 10027",0,1,524,2021,0,749500,40.8107988,-73.9534353
"350 Albany St APT 14E, New York, NY 10280",1,1,642,1986,0,725000,40.7101576,-74.0170294
"621 E 6th St APT 6, New York, NY 10009",1,1,550,0,0,700000,40.7241509,-73.9803914
"300 W 122nd St #7M, New York, NY 10027",1,1,638,2020,0,785000,40.808384,-73.953147
"77 W 55th St #C7, New York, NY 10019",1,1,600,0,0,830000,40.7629803,-73.9777616
"201 E 37th St APT 6D, New York, NY 10016",2,1,900,0,0,849995,40.7476262,-73.976469
"150 W End Ave APT 25H, New York, NY 10023",1,1,850,0,0,825000,40.776586,-73.9859919
"111 Fulton St APT 417, New York, NY 10038",0,1,725,1940,0,850000,40.709902,-74.0068431
"530 Grand St APT F3A, Manhattan, NY 10002",2,1,1000,1949,0,899000,40.714461,-73.98165
"196 Orchard St #5NN, New York, NY 10002",1,1,650,2018,0,850000,40.721668,-73.988358
"552 Riverside Dr APT 2D, New York, NY 10027",2,1,750,0,0,800000,40.8163353,-73.9603157
"360 E 88th St APT 6C, New York, NY 10128",1,2,730,1988,0,895000,40.7782758,-73.9490193
"181 E 101st St #603, New York, NY 10029",1,1,726,0,0,895700,40.7888462,-73.9478828
"181 E 101st St #207, New York, NY 10029",2,2,701,0,0,850000,40.7888462,-73.9478828
"200 Rector Pl APT 28G, New York, NY 10280",1,1,638,0,0,845000,40.7084895,-74.0165122
"201 E 36th St APT 11D, New York, NY 10016",1,1,904,0,0,875000,40.7469712,-73.9768308
"165 Lexington Ave #2B, New York, NY 10016",0,1,432,0,0,800000,40.744,-73.981409
"310 E 70th St APT 6A, New York, NY 10021",1,1,950,0,0,899000,40.7670514,-73.9587863
"43 E 10th St APT 6A, New York, NY 10003",0,1,500,1900,0,865000,40.7323523,-73.9923858
"250 E 40th St APT 23A, New York, NY 10016",1,1,707,0,0,825000,40.7485521,-73.9735528
"80 Park Ave APT 11K, New York, NY 10016",1,1,910,1956,0,884000,40.7501705,-73.9793987
"40 Pinehurst Ave #3A, New York, NY 10033",2,2,22901,2018,0,900000,40.849939,-73.939863
"540 W 49th St APT 507N, New York, NY 10019",0,1,507,2015,0,825000,40.7646095,-73.9937807
"370 Convent Ave #4A, New York, NY 10031",2,1,921,1920,0,800000,40.825071,-73.946075
"110 W 86th St APT 3E, New York, NY 10024",1,1,750,1929,0,825000,40.7864711,-73.972707
"90 William St APT 14D, New York, NY 10038",1,1,849,1967,0,898000,40.708198,-74.0076571
"350 W 42nd St APT 4L, New York, NY 10036",0,1,711,0,0,869000,40.7578472,-73.9922301
"17 Convent Ave #3A, New York, NY 10027",1,1,739,2019,0,850000,40.813404,-73.953041
"159 W 53rd St APT 24F, New York, NY 10019",1,1,739,1968,0,875000,40.7627986,-73.9812172
"1165 5th Ave #1C, New York, NY 10029",2,2,1100,1926,0,895000,40.783246,-73.944723
"136 E 36th St APT 1G, New York, NY 10016",3,2,1262,1924,0,995000,40.7475049,-73.9786191
"243 E 77th St APT 4B, New York, NY 10075",2,2,830,0,0,995000,40.77253,-73.9566393
"245 E 72nd St OFFICE 1C, New York, NY 10021",2,2,1082,0,0,995000,40.7692526,-73.9587713
"304 E 65th St APT 31D, New York, NY 10065",1,1,703,0,0,999000,40.7640879,-73.9615448
"77 Fulton St APT 13K, New York, NY 10038",2,1,855,0,0,920000,40.7090349,-74.0046918
"250 E 49th St #19A, New York, NY 10017",1,1,647,2008,0,949000,40.754646,-73.970387
"15 W 53rd St #15H, New York, NY 10019",1,1,743,0,0,995000,40.7613535,-73.9773592
"303 Greenwich St #3A, New York, NY 10013",1,1,730,1987,1,985000,40.716303,-74.010967
"308 W 30th St APT 9B, New York, NY 10001",2,1,731,0,0,975000,40.74979,-73.996115
"345 E 80th St APT 25J, New York, NY 10075",1,1,733,1973,0,949000,40.7734385,-73.9523724
"40 Pinehurst Ave #3A, New York, NY 10033",2,2,22901,0,0,900000,40.849939,-73.939863
"453 W 19th St APT 6B, New York, NY 10011",1,1,700,0,0,950000,40.7450552,-74.0051061
"345 E 81st St APT 14M, New York, NY 10028",1,1,900,1963,0,975000,40.773874,-73.9519776
"500 Grand St #C9A, New York, NY 10002",2,1,1000,1949,0,989000,40.714835,-73.983
